Product_Name,Department_Name,Average_Discount
Bowflex SelectTech 1090 Dumbbells,Footwear,0.1380000009
SOLE E35 Elliptical,Footwear,0.12000000059999999
Diamondback Boys' Insight 24 Performance Hybr,Fitness,0.11896551779310345
LIJA Women's Mid-Length Panel Golf Shorts,Outdoors,0.11643835667123288
Brooks Women's Ghost 6 Running Shoe,Footwear,0.11469697027272724
LIJA Women's Argyle Golf Polo,Outdoors,0.11333333413636364
The North Face Women's Recon Backpack,Fan Shop,0.11140350928070175
Fitbit The One Wireless Activity & Sleep Trac,Outdoors,0.11080645212903224
insta-bed Neverflat Air Mattress,Fan Shop,0.11000000068333333
Nike Men's Free TR 5.0 TB Training Shoe,Footwear,0.10941176511764705
Bridgestone e6 Straight Distance NFL San Dieg,Outdoors,0.1086451618193548
Team Golf Pittsburgh Steelers Putter Grip,Outdoors,0.10837288182033894
Team Golf Tennessee Volunteers Putter Grip,Outdoors,0.1075666672033334
adidas Men's F10 Messi TRX FG Soccer Cleat,Fitness,0.10744262358032791
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Footwear,0.10718750059374996
Cleveland Golf Collegiate My Custom Wedge 588,Outdoors,0.10707692360000001
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Footwear,0.10685714334285716
TYR Boys' Team Digi Jammer,Golf,0.10673333364666665
Glove It Women's Mod Oval Golf Glove,Outdoors,0.1066064988519856
Merrell Men's All Out Flash Trail Running Sho,Outdoors,0.10647058878823529
Titleist Club Glove Travel Cover,Outdoors,0.10617647152941176
Pelican Maverick 100X Kayak,Fan Shop,0.10550000030000004
Team Golf Texas Longhorns Putter Grip,Outdoors,0.10541806107357862
Titleist Pro V1x High Numbers Golf Balls,Outdoors,0.10513207603018866
Team Golf New England Patriots Putter Grip,Outdoors,0.10494661961921706
Clicgear Rovic Cooler Bag,Outdoors,0.10478873283098585
Titleist Pro V1 High Numbers Personalized Gol,Outdoors,0.10469178123287666
Bridgestone e6 Straight Distance NFL Carolina,Outdoors,0.10467532534740262
Garmin Approach S3 Golf GPS Watch,Outdoors,0.10467532529870129
Glove It Urban Brick Golf Towel,Outdoors,0.10466666708666664
Total Gym 1400,Apparel,0.10444444513888888
Nike Men's Kobe IX Elite Low Basketball Shoe,Golf,0.10444444473015872
Baby sweater,Apparel,0.10429951742028985
Under Armour Men's Tech II T-Shirt,Fitness,0.10375000047857144
Glove It Women's Mod Oval 3-Zip Carry All Gol,Outdoors,0.10372881410847459
Bag Boy M330 Push Cart,Outdoors,0.10362318862318841
TaylorMade Women's RBZ SL Rescue,Outdoors,0.10323529522058822
Nike Dri-FIT Crew Sock 6 Pack,Fitness,0.10318181868506494
LIJA Women's Button Golf Dress,Outdoors,0.10289473730263154
Hirzl Men's Hybrid Golf Glove,Outdoors,0.10287234081205675
Under Armour Men's Compression EV SL Slide,Footwear,0.10271428649999995
Cleveland Golf Women's 588 RTX CB Satin Chrom,Outdoors,0.10271428624285711
Men's gala suit,Apparel,0.10269230820192311
ENO Atlas Hammock Straps,Fan Shop,0.10253870021052634
Smart watch ,Fitness,0.10235294168347335
Sports Books ,Book Shop,0.10229629680493825
Clicgear 8.0 Shoe Brush,Outdoors,0.10228070225964911
Nike Men's Comfort 2 Slide,Fitness,0.10225609782926826
Under Armour Women's Ignite Slide,Footwear,0.10225080428938907
Dell Laptop,Technology,0.10223981951357475
Fighting video games,Discs Shop,0.10208830599045346
LIJA Women's Eyelet Sleeveless Golf Polo,Outdoors,0.10207119792880261
Summer dresses,Apparel,0.10204615434923074
DVDs ,Discs Shop,0.10198757814492757
Nike Men's Free 5.0+ Running Shoe,Footwear,0.10169529181452848
Porcelain crafts,Apparel,0.10169421536776861
Industrial consumer electronics,Technology,0.10169373599071918
Nike Men's CJ Elite 2 TD Football Cleat,Apparel,0.10168344920875615
Toys ,Fan Shop,0.10168242015689974
Field & Stream Sportsman 16 Gun Fire Safe,Fan Shop,0.10168138578158707
Diamondback Women's Serene Classic Comfort Bi,Fan Shop,0.10168111347279482
Pelican Sunstream 100 Kayak,Fan Shop,0.10167354888722614
Nike Men's Dri-FIT Victory Golf Polo,Golf,0.10166912338954165
Polar Loop Activity Tracker,Outdoors,0.10166666716666668
Perfect Fitness Perfect Rip Deck,Apparel,0.10159004740819891
Web Camera,Technology,0.10158783835304046
Adult dog supplies,Pet Shop,0.10158536633943094
O'Brien Men's Neoprene Life Vest,Fan Shop,0.10149290131604347
CDs of rock,Discs Shop,0.10147601526199254
Children's heaters,Apparel,0.10147239313496927
adidas Men's Germany Black Crest Away Tee,Golf,0.10141868542906574
Under Armour Girls' Toddler Spine Surge Runni,Golf,0.10141094521672782
Under Armour Hustle Storm Medium Duffle Bag,Footwear,0.10140468290635457
Rock music,Discs Shop,0.1013594474976959
First aid kit,Health and Beauty ,0.10135359165745855
Lawn mower,Outdoors,0.10115702528925612
Garmin Forerunner 910XT GPS Watch,Outdoors,0.10085714308571428
Team Golf San Francisco Giants Putter Grip,Outdoors,0.10068493205136983
Merrell Women's Siren Mid Waterproof Hiking B,Outdoors,0.10057142907142858
Under Armour Women's Micro G Skulpt Running S,Footwear,0.10034843258885018
Titleist Small Wheeled Travel Cover,Outdoors,0.1001851853703704
Nike Men's Deutschland Weltmeister Winners Bl,Golf,0.10016778593959726
TaylorMade 2014 Purelite Stand Bag,Outdoors,0.10000000056923079
Nike Women's Tempo Shorts,Footwear,0.099937107477987425
Glove It Women's Imperial Golf Glove,Outdoors,0.099804560684039062
Bag Boy Beverage Holder,Outdoors,0.0997849466881721
Bridgestone e6 Straight Distance NFL Tennesse,Outdoors,0.099571985112840461
adidas Youth Germany Black/Red Away Match Soc,Golf,0.099522293496815267
MDGolf Pittsburgh Penguins Putter,Outdoors,0.0992452836792453
Under Armour Kids' Mercenary Slide,Footwear,0.099243028362549862
Nike Women's Legend V-Neck T-Shirt,Fitness,0.0991397854265233
Columbia Men's PFG Anchor Tough T-Shirt,Golf,0.099013158282894823
adidas Kids' F5 Messi FG Soccer Cleat,Fitness,0.099007633896946515
GolfBuddy VT3 GPS Watch,Outdoors,0.098813560033898309
Titleist Pro V1x High Numbers Personalized Go,Outdoors,0.098725490830065335
Elevation Training Mask 2.0,Fitness,0.098648649243243222
Top Flite Women's 2014 XL Hybrid,Outdoors,0.098613861805280534
Glove It Imperial Golf Towel,Outdoors,0.098377484000000015
Mio ALPHA Heart Rate Monitor/Sport Watch,Outdoors,0.098358209552238771
Hirzl Women's Hybrid Golf Glove,Outdoors,0.098263666167202432
Titleist Pro V1x Golf Balls,Outdoors,0.098213058900343569
Hirzl Women's Soffft Flex Golf Glove,Outdoors,0.0981208058087248
TaylorMade White Smoke IN-12 Putter,Outdoors,0.09809523819047615
adidas Brazuca 2014 Official Match Ball,Fitness,0.097692308123076915
