Order_Region,Average_Days_For_Shipment
Western Europe,3.498432254970651
Northern Europe,3.5023488562091525
Oceania,3.4963539613717241
Southeast Asia,3.4966977670615371
Eastern Asia,3.527335164835165
South Asia,3.5020049152761752
Southern Europe,3.4357968402078169
South America,3.5057248074991638
Central America,3.5104618750220435
Caribbean,3.5072132724212541
West Asia,3.48676984523216
North Africa,3.4805074257425717
East Africa,3.5145788336933035
West Africa,3.5340909090909132
Southern Africa,3.4468452895419119
Central Africa,3.5605247465712537
Eastern Europe,3.5007653061224557
West of USA ,3.5049418240960684
East of USA,3.50093998553867
US Center ,3.457618481399698
South of  USA ,3.4927070457354783
Canada,3.3315954118873869
Central Asia,3.4177215189873462
