Product_Name,Department_Name,number_of_products_sold
Baby sweater,Apparel,207
Men's gala suit,Apparel,208
Summer dresses,Apparel,650
Total Gym 1400,Apparel,36
Children's heaters,Apparel,652
Porcelain crafts,Apparel,484
Perfect Fitness Perfect Rip Deck,Apparel,24515
Nike Men's CJ Elite 2 TD Football Cleat,Apparel,22246
Sports Books ,Book Shop,405
DVDs ,Discs Shop,483
Rock music,Discs Shop,434
CDs of rock,Discs Shop,271
Fighting video games,Discs Shop,838
Toys ,Fan Shop,529
ENO Atlas Hammock Straps,Fan Shop,323
Pelican Maverick 100X Kayak,Fan Shop,40
Pelican Sunstream 100 Kayak,Fan Shop,15500
insta-bed Neverflat Air Mattress,Fan Shop,60
O'Brien Men's Neoprene Life Vest,Fan Shop,19298
The North Face Women's Recon Backpack,Fan Shop,57
Field & Stream Sportsman 16 Gun Fire Safe,Fan Shop,17325
Diamondback Women's Serene Classic Comfort Bi,Fan Shop,13729
Smart watch ,Fitness,357
SOLE E25 Elliptical,Fitness,10
Elevation Training Mask 2.0,Fitness,74
Nike Men's Comfort 2 Slide,Fitness,328
Nike Dri-FIT Crew Sock 6 Pack,Fitness,308
Nike Women's Legend V-Neck T-Shirt,Fitness,279
Under Armour Men's Tech II T-Shirt,Fitness,280
adidas Brazuca 2014 Official Match Ball,Fitness,65
adidas Kids' F5 Messi FG Soccer Cleat,Fitness,262
Nike Men's Fingertrap Max Training Shoe,Fitness,64
adidas Men's F10 Messi TRX FG Soccer Cleat,Fitness,305
Nike Kids' Grade School KD VI Basketball Shoe,Fitness,63
Diamondback Girls' Clarity 24 Hybrid Bike 201,Fitness,28
Diamondback Boys' Insight 24 Performance Hybr,Fitness,29
Stiga Master Series ST3100 Competition Indoor,Fitness,27
SOLE E35 Elliptical,Footwear,15
Nike Women's Tempo Shorts,Footwear,318
Bowflex SelectTech 1090 Dumbbells,Footwear,10
GoPro HERO3+ Black Edition Camera,Footwear,32
Under Armour Women's Ignite Slide,Footwear,311
Under Armour Kids' Mercenary Slide,Footwear,251
Brooks Women's Ghost 6 Running Shoe,Footwear,66
Nike Men's Free 5.0+ Running Shoe,Footwear,12169
Nike Men's Free TR 5.0 TB Training Shoe,Footwear,68
Under Armour Women's Ignite PIP VI Slide,Footwear,285
Under Armour Hustle Storm Medium Duffle Bag,Footwear,299
Under Armour Men's Compression EV SL Slide,Footwear,280
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Footwear,64
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Footwear,70
Under Armour Women's Micro G Skulpt Running S,Footwear,287
TYR Boys' Team Digi Jammer,Golf,300
Nike Men's Dri-FIT Victory Golf Polo,Golf,21035
Columbia Men's PFG Anchor Tough T-Shirt,Golf,304
adidas Men's Germany Black Crest Away Tee,Golf,289
Nike Men's Kobe IX Elite Low Basketball Shoe,Golf,63
Under Armour Girls' Toddler Spine Surge Runni,Golf,10617
adidas Youth Germany Black/Red Away Match Soc,Golf,314
Nike Men's Deutschland Weltmeister Winners Bl,Golf,298
First aid kit,Health and Beauty ,362
Lawn mower,Outdoors,484
Ogio Race Golf Shoes,Outdoors,61
Bag Boy M330 Push Cart,Outdoors,69
Bag Boy Beverage Holder,Outdoors,279
Clicgear 8.0 Shoe Brush,Outdoors,285
GolfBuddy VT3 GPS Watch,Outdoors,59
Clicgear Rovic Cooler Bag,Outdoors,284
Polar Loop Activity Tracker,Outdoors,54
